Project,Despach N° RA-20XX-XXXX,SampleID_Init,SampleID_Fin,TotalSample_SE,Weight SE,SampleType,Target,Laboratory,Prepared Method,Analytical Method,DispatchDate,Over Limit,Analytes,ReceivedDate,ResultDate,Workorder,Location,Responsible
BRAR,RA-2023-0094,BR0003970,BR0004099,130,321.49,Auger,Aratama,ALS,PREP-31,ME-MS61L+ME-MS81,5/24/2023,ME-OGREE,NA,5/29/2023,6/23/2023,BH23144870,VESPASIANO/MG,ULS
BRAR,RA-2023-0095,BR0013594,BR0013634,41,110.87,RC,Aratama,SGS,PRPCL_FORT,ICP95A / IMS95A,5/18/2023,NA,NA,5/22/2023,7/6/2023,GQ2306082,VESPASIANO/MG,SDS
BRAR,RA-2023-0096,BR0013635,BR0013692,58,158.38,RC,Aratama,SGS,PRPCL_FORT,ICP95A / IMS95A,5/18/2023,NA,NA,5/22/2023,7/6/2023,GQ2306083,VESPASIANO/MG,SDS
BRAR,RA-2023-0097,BR0013693,BR0013741,49,134.25,RC,Aratama,SGS,PRPCL_FORT,ICP95A / IMS95A,5/18/2023,NA,Ce-Dy- Gd- La- Nd- Pr- Sm e Tb + Th e U,5/22/2023,7/11/2023,GQ2306084,VESPASIANO/MG,SDS
BRAR,RA-2023-0098,BR0013742,BR0013783,42,114.47,RC,Aratama,SGS,PRPCL_FORT,ICP95A / IMS95A,5/18/2023,NA,Ce-Dy- Gd- La- Nd- Pr- Sm e Tb + Th e U,5/22/2023,7/10/2023,GQ2306085,VESPASIANO/MG,SDS
BRAR,RA-2023-0099,BR0013784,BR0013830,47,116.7,RC,Aratama,SGS,PRPCL_FORT,ICP95A / IMS95A,5/18/2023,NA,Ce-Dy- Gd- La- Nd- Pr- Sm e Tb,5/22/2023,7/7/2023,GQ2306086,VESPASIANO/MG,SDS
BRAR,RA-2023-0100,BR0013831,BR0013863,33,84.57,RC,Aratama,SGS,PRPCL_FORT,ICP95A / IMS95A,5/18/2023,NA,NA,5/22/2023,7/5/2023,GQ2306087,VESPASIANO/MG,SDS
BRAR,RA-2023-0102,BR0004100,BR0004234,135,342.43,Auger,Aratama,ALS,PREP-31,ME-MS61L+ME-MS81,5/24/2023,ME-OGREE,NA,5/29/2023,6/23/2023,BH23144903,VESPASIANO/MG,SDS
BRAR,RA-2023-0105,BR0013864,BR0013907,44,114.14,RC,Aratama,SGS,PRPCL_FORT,ICP95A / IMS95A,5/18/2023,NA,Ce-Dy- Gd- La- Nd- Pr- Sm e Tb + Th e U,5/22/2023,7/7/2023,GQ2306093,VESPASIANO/MG,SDS
BRAR,RA-2023-0106,BR0013908,BR0013956,49,127,RC,Aratama,SGS,PRPCL_FORT,ICP95A / IMS95A,5/18/2023,NA,NA,5/22/2023,7/12/2023,GQ2306095,VESPASIANO/MG,SDS
